Coach,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups,Teams
Jared Bednar,0.635,0.656,0.613,0.643,40,5,1,['Colorado Avalanche']
Jon Cooper,0.604,0.589,0.621,0.604,84,8,2,['Tampa Bay Lightning']
Peter DeBoer,0.56,0.623,0.496,0.56,68,7,0,"['New Jersey Devils', 'San Jose Sharks', 'Vegas Golden Knights']"
Jim Montgomery,0.538,0.5,0.571,0.538,7,1,0,['Dallas Stars']
Rick Bowness,0.531,0.483,0.575,0.531,26,3,0,"['Boston Bruins', 'Dallas Stars']"
Lindy Ruff,0.519,0.556,0.482,0.519,66,10,0,"['Dallas Stars', 'Buffalo Sabres']"
Rod Brind'Amour,0.5,0.68,0.304,0.5,24,4,0,['Carolina Hurricanes']
Jay Woodcroft,0.5,0.5,0.5,0.5,8,1,0,['Edmonton Oilers']
Darryl Sutter,0.485,0.533,0.424,0.485,94,15,2,"['Chicago Blackhawks', 'Los Angeles Kings', 'Calgary Flames', 'San Jose Sharks', 'Calgary Flames']"
Todd McLellan,0.484,0.471,0.486,0.484,40,8,0,"['Edmonton Oilers', 'San Jose Sharks', 'Los Angeles Kings']"
Mike Sullivan,0.483,0.548,0.404,0.483,47,8,2,"['Boston Bruins', 'Pittsburgh Penguins']"
Gerard Gallant,0.475,0.609,0.344,0.475,28,4,0,"['Florida Panthers', 'Vegas Golden Knights', 'New York Rangers']"
John Tortorella,0.462,0.483,0.44,0.462,56,12,1,"['New York Rangers', 'Tampa Bay Lightning', 'Columbus Blue Jackets']"
Peter Laviolette,0.456,0.578,0.343,0.456,78,13,1,"['Philadelphia Flyers', 'New York Islanders', 'Washington Capitals', 'Carolina Hurricanes', 'Nashville Predators']"
Craig Berube,0.45,0.487,0.445,0.455,27,5,1,"['Philadelphia Flyers', 'St. Louis Blues']"
Paul Maurice,0.447,0.44,0.458,0.447,41,9,0,"['Carolina Hurricanes', 'Carolina Hurricanes', 'Winnipeg Jets']"
Sheldon Keefe,0.421,0.364,0.5,0.421,8,3,0,['Toronto Maple Leafs']
Bruce Cassidy,0.413,0.243,0.583,0.413,38,7,0,"['Boston Bruins', 'Washington Capitals']"
Bruce Boudreau,0.406,0.42,0.388,0.406,43,10,0,"['Washington Capitals', 'Anaheim Ducks', 'Minnesota Wild']"
Dean Evason,0.353,0.25,0.444,0.353,6,3,0,['Minnesota Wild']
Dave Hakstol,0.333,0.167,0.5,0.333,4,2,0,['Philadelphia Flyers']
John Hynes,0.207,0.464,0.0,0.207,4,4,0,"['New Jersey Devils', 'Nashville Predators']"
David Quinn,0.0,0.0,0.0,0.0,0,1,0,['New York Rangers']
